Date,Birth_rate,Timestamp
1/1/2000,15.37,0
2/1/2000,15.11,1
3/1/2000,14.91,2
4/1/2000,13.64,3
5/1/2000,13.04,4
6/1/2000,12,5
7/1/2000,12,6
8/1/2000,12.55,7
9/1/2000,13.56,8
10/1/2000,13.49,9
11/1/2000,13.41,10
12/1/2000,12.56,11
1/1/2001,14.04,12
2/1/2001,13.62,13
3/1/2001,13.43,14
4/1/2001,12.28,15
5/1/2001,11.51,16
6/1/2001,10.62,17
7/1/2001,10.42,18
8/1/2001,10.76,19
9/1/2001,11.59,20
10/1/2001,11,21
11/1/2001,10.84,22
12/1/2001,10.33,23
1/1/2002,11.97,24
2/1/2002,11.82,25
3/1/2002,11.69,26
4/1/2002,10.99,27
5/1/2002,10.27,28
6/1/2002,9.5,29
7/1/2002,9.87,30
8/1/2002,9.72,31
9/1/2002,10,32
10/1/2002,9.64,33
11/1/2002,9.57,34
12/1/2002,8.95,35
1/1/2003,11.09,36
2/1/2003,11.32,37
3/1/2003,11.21,38
4/1/2003,10.84,39
5/1/2003,10.02,40
6/1/2003,9.29,41
7/1/2003,9.26,42
8/1/2003,9.27,43
9/1/2003,10.48,44
10/1/2003,10.56,45
11/1/2003,10.25,46
12/1/2003,9.47,47
1/1/2004,11.18,48
2/1/2004,10.7,49
3/1/2004,11.07,50
4/1/2004,10.23,51
5/1/2004,9.48,52
6/1/2004,9.08,53
7/1/2004,9.26,54
8/1/2004,9.32,55
9/1/2004,9.87,56
10/1/2004,9.94,57
11/1/2004,9.41,58
12/1/2004,8.55,59
1/1/2005,10.02,60
2/1/2005,9.6,61
3/1/2005,9.94,62
4/1/2005,9.15,63
5/1/2005,8.7,64
6/1/2005,8.42,65
7/1/2005,8.38,66
8/1/2005,8.7,67
9/1/2005,9.34,68
10/1/2005,9,69
11/1/2005,8.92,70
12/1/2005,7.99,71
1/1/2006,9.82,72
2/1/2006,10.02,73
3/1/2006,9.93,74
4/1/2006,9.38,75
5/1/2006,9.1,76
6/1/2006,8.8,77
7/1/2006,8.47,78
8/1/2006,9.02,79
9/1/2006,9.57,80
10/1/2006,9.27,81
11/1/2006,9.22,82
12/1/2006,8.37,83
1/1/2007,10.5,84
2/1/2007,10.5,85
3/1/2007,10.46,86
4/1/2007,9.99,87
5/1/2007,9.57,88
6/1/2007,9.19,89
7/1/2007,9.47,90
8/1/2007,10.55,91
9/1/2007,11.1,92
10/1/2007,10.94,93
11/1/2007,10.35,94
12/1/2007,8.78,95
1/1/2008,11.2,96
2/1/2008,10.11,97
3/1/2008,9.89,98
4/1/2008,9.59,99
5/1/2008,8.99,100
6/1/2008,8.66,101
7/1/2008,9.09,102
8/1/2008,9.03,103
9/1/2008,9.88,104
10/1/2008,9.52,105
11/1/2008,8.99,106
12/1/2008,8.27,107
1/1/2009,10.49,108
2/1/2009,9.65,109
3/1/2009,9.46,110
4/1/2009,9.21,111
5/1/2009,8.51,112
6/1/2009,8.36,113
7/1/2009,8.48,114
8/1/2009,8.57,115
9/1/2009,9.35,116
10/1/2009,8.94,117
11/1/2009,8.6,118
12/1/2009,7.95,119
1/1/2010,10.15,120
2/1/2010,9.59,121
3/1/2010,9.68,122
4/1/2010,9.35,123
5/1/2010,8.73,124
6/1/2010,8.78,125
7/1/2010,8.75,126
8/1/2010,9.05,127
9/1/2010,10.29,128
10/1/2010,10.28,129
11/1/2010,10.06,130
12/1/2010,8.37,131
1/1/2011,11.2,132
2/1/2011,9.94,133
3/1/2011,10.18,134
4/1/2011,9.81,135
5/1/2011,9.16,136
6/1/2011,8.93,137
7/1/2011,8.97,138
8/1/2011,9.24,139
9/1/2011,9.45,140
10/1/2011,9,141
11/1/2011,9.05,142
12/1/2011,7.97,143
1/1/2012,10.57,144
2/1/2012,10.2,145
3/1/2012,10.15,146
4/1/2012,9.73,147
5/1/2012,9.24,148
6/1/2012,9.25,149
7/1/2012,9.41,150
8/1/2012,9.72,151
9/1/2012,10.1,152
10/1/2012,9.81,153
11/1/2012,9.33,154
12/1/2012,8.03,155
1/1/2013,10.32,156
2/1/2013,9.46,157
3/1/2013,8.98,158
4/1/2013,8.85,159
5/1/2013,8.3,160
6/1/2013,7.98,161
7/1/2013,8.43,162
8/1/2013,8.47,163
9/1/2013,8.91,164
10/1/2013,8.38,165
11/1/2013,8.13,166
12/1/2013,7.43,167
1/1/2014,9.58,168
2/1/2014,9.45,169
3/1/2014,8.83,170
4/1/2014,8.92,171
5/1/2014,8.3,172
6/1/2014,8.19,173
7/1/2014,8.44,174
8/1/2014,8.47,175
9/1/2014,9.07,176
10/1/2014,8.44,177
11/1/2014,7.75,178
12/1/2014,7.57,179
1/1/2015,9.7,180
2/1/2015,9.15,181
3/1/2015,9.33,182
4/1/2015,9.1,183
5/1/2015,8.45,184
6/1/2015,8.48,185
7/1/2015,8.46,186
8/1/2015,8.13,187
9/1/2015,8.7,188
10/1/2015,8.47,189
11/1/2015,7.98,190
12/1/2015,7.36,191
1/1/2016,9.11,192
2/1/2016,8.61,193
3/1/2016,8.81,194
4/1/2016,8.39,195
5/1/2016,7.93,196
6/1/2016,7.84,197
7/1/2016,7.83,198
8/1/2016,7.83,199
9/1/2016,8.2,200
10/1/2016,7.29,201
11/1/2016,7.24,202
12/1/2016,6.32,203
1/1/2017,8.01,204
2/1/2017,7.76,205
3/1/2017,7.63,206
4/1/2017,7.21,207
5/1/2017,6.97,208
6/1/2017,6.86,209
7/1/2017,6.76,210
8/1/2017,6.92,211
9/1/2017,7.14,212
10/1/2017,6.4,213
11/1/2017,6.42,214
12/1/2017,5.77,215
1/1/2018,7.4,216
2/1/2018,7,217
3/1/2018,6.9,218
4/1/2018,6.6,219
5/1/2018,6.4,220
6/1/2018,6.3,221
7/1/2018,6.2,222
8/1/2018,6.3,223
9/1/2018,6.2,224
10/1/2018,6.1,225
11/1/2018,6,226
12/1/2018,5.2,227
1/1/2019,6.9,228
2/1/2019,6.5,229
3/1/2019,6.2,230
4/1/2019,6.2,231
5/1/2019,5.8,232
6/1/2019,5.7,233
7/1/2019,5.8,234
8/1/2019,5.6,235
9/1/2019,5.7,236
10/1/2019,5.9,237
11/1/2019,5.6,238
12/1/2019,4.9,239
1/1/2020,6.1,240
2/1/2020,5.6,241
3/1/2020,5.6,242
4/1/2020,5.5,243
5/1/2020,5.3,244
6/1/2020,5.3,245
7/1/2020,5.3,246
8/1/2020,5.1,247
9/1/2020,5.6,248
10/1/2020,5,249
11/1/2020,4.8,250
12/1/2020,4.5,251
1/1/2021,5.7,252
2/1/2021,5.4,253
3/1/2021,5.5,254
4/1/2021,5.4,255
5/1/2021,5,256
6/1/2021,5.1,257
7/1/2021,5.1,258
8/1/2021,5.1,259
9/1/2021,5.2,260
10/1/2021,4.8,261
11/1/2021,4.7,262
12/1/2021,3.9,263
1/1/2022,5.6,264
2/1/2022,5.2,265
3/1/2022,5.3,266
4/1/2022,5,267
5/1/2022,4.6,268
6/1/2022,4.5,269
